"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","CCA_LANDED_WEIGHT_MTONS","CCA_LANDED_WEIGHT_PPP","CCA_EXVESSEL_REVENUE","CCA_CONFIDENTIAL_FLAG","ERA_LANDED_WEIGHT_MTONS","ERA_LANDED_WEIGHT_PPP","ERA_EXVESSEL_REVENUE","ERA_CONFIDENTIAL_FLAG","BGA_LANDED_WEIGHT_MTONS","BGA_LANDED_WEIGHT_PPP","BGA_EXVESSEL_REVENUE","BGA_CONFIDENTIAL_FLAG","BDA_LANDED_WEIGHT_MTONS","BDA_LANDED_WEIGHT_PPP","BDA_EXVESSEL_REVENUE","BDA_CONFIDENTIAL_FLAG","SFA_LANDED_WEIGHT_MTONS","SFA_LANDED_WEIGHT_PPP","SFA_EXVESSEL_REVENUE","SFA_CONFIDENTIAL_FLAG","MNA_LANDED_WEIGHT_MTONS","MNA_LANDED_WEIGHT_PPP","MNA_EXVESSEL_REVENUE","MNA_CONFIDENTIAL_FLAG","MRA_LANDED_WEIGHT_MTONS","MRA_LANDED_WEIGHT_PPP","MRA_EXVESSEL_REVENUE","MRA_CONFIDENTIAL_FLAG","SBA_LANDED_WEIGHT_MTONS","SBA_LANDED_WEIGHT_PPP","SBA_EXVESSEL_REVENUE","SBA_CONFIDENTIAL_FLAG","LAA_LANDED_WEIGHT_MTONS","LAA_LANDED_WEIGHT_PPP","LAA_EXVESSEL_REVENUE","LAA_CONFIDENTIAL_FLAG","SDA_LANDED_WEIGHT_MTONS","SDA_LANDED_WEIGHT_PPP","SDA_EXVESSEL_REVENUE","SDA_CONFIDENTIAL_FLAG","CA2_LANDED_WEIGHT_MTONS","CA2_LANDED_WEIGHT_PPP","CA2_EXVESSEL_REVENUE","CA2_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"2010","C","GRND","MGRN","SOUPFIN SHARK","SSRK",,,,"",,,,"",,,,"*",,,,"",.4,.92,897,"",,,,"*",,,,"*",,,,"*",1.1,.85,2042,"",.7,1.48,2285,"",,,,"",2.2,,5224,"*"
"2010","C","GRND","MGRN","UNSP. SKATE","USKT",.3,.25,170,"",,,,"",,,,"",,,,"",7.1,.24,3780,"",2.6,.16,930,"",.7,.35,574,"",.7,.52,847,"",4.1,.26,2371,"",,,,"",,,,"",15.5,,8672,""
"2010","C","GRND","ROCK","NOM. AURORA ROCKFISH","ARR1",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","C","GRND","ROCK","AURORA ROCKFISH","ARRA",13.5,.32,9617,"",2.8,.43,2662,"",.1,.6,141,"",,,,"",,,,"",,,,"*",.6,1,1259,"",0,.66,45,"",0,4.31,434,"",,,,"",,,,"",17,,14158,"*"
"2010","C","GRND","ROCK","BANK ROCKFISH","BANK",,,,"",.3,.39,270,"",6.2,.65,8803,"",,,,"*",,,,"*",,,,"*",,,,"",,,,"*",,,,"",,,,"",,,,"",6.5,,9073,"*"
"2010","C","GRND","ROCK","BOCACCIO","BCAC",,,,"",0,.54,42,"",1.6,.61,2139,"",,,,"",,,,"",,,,"",,,,"",.7,2.02,3296,"",.1,1.55,373,"",,,,"",,,,"",2.4,,5850,""
"2010","C","GRND","ROCK","NOM. BOCACCIO","BCC1",,,,"*",0,1.05,28,"",,,,"",,,,"*",,,,"*",1.1,1.09,2570,"",,,,"*",0,2.82,229,"",,,,"*",.1,2.17,641,"",,,,"",1.2,,3468,"*"
"2010","C","GRND","ROCK","NOM. BLACKGILL ROCKFISH","BGL1",,,,"*",,,,"*",,,,"",,,,"*",.5,1.21,1283,"",.3,1.56,1032,"",.7,1.51,2271,"",.5,1.22,1413,"",,,,"*",19.9,1.08,47442,"",,,,"",21.9,,53441,"*"
"2010","C","GRND","ROCK","BLACK ROCKFISH","BLCK",46.8,1.85,191098,"",2.9,1.79,11596,"",.4,1.69,1337,"",,,,"",,,,"",,,,"",.2,1.91,662,"",,,,"",,,,"",,,,"",,,,"",50.3,,204693,""
"2010","C","GRND","ROCK","BLACKGILL ROCKFISH","BLGL",.1,.47,128,"",.5,.48,569,"",53.4,.64,75171,"",.3,1.96,1439,"",3.9,.52,4450,"",,,,"*",44.5,1.22,119963,"",12.4,1.14,31326,"",1.5,3.16,10407,"",5.7,1.16,14603,"",,,,"",122.3,,258056,"*"
